reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
79;Республика Адыгея;М-4;"""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление)";Федеральная дорога общего пользования;79633000;ЮФО, Республика Адыгея, Теучежский район;Столкновение;20181216;22:00:00;Неправильный выбор дистанции;1;1;2;3;44.902821;39.159479
57;Пермский край;;Южный обход г.Перми;Региональная или межмуниципальная дорога общего пользования;57646000;ПФО, Пермский край, Пермский район;Опрокидывание;20181216;22:00:00;Несоответствие скорости конкретным условиям движения;1;0;1;2;57.933877;56.249442
90;Республика Северная Осетия — Алания;;Владикавказ-Чикола-Лескен2;Региональная или межмуниципальная дорога общего пользования;90640000;СКФО, Республика Северная Осетия-Алания, Пригородный район;Столкновение;20181216;21:55:00;Несоответствие скорости конкретным условиям движения, Несоответствие скорости конкретным условиям движения;1;0;3;3;43.098225;44.564152
65;Свердловская область;;г.Нижний Тагил - г.Нижняя Салда;Региональная или межмуниципальная дорога общего пользования;65708000;УФО, Свердловская область, Верхнесалдинский район;Наезд на пешехода;20181216;21:35:00;Нахождение на проезжей части без цели её перехода;1;0;1;2;58.004164;60.400043
57;Пермский край;;Кукуштан-Чайковский;Региональная или межмуниципальная дорога общего пользования;57640000;ПФО, Пермский край, Осинский район;Съезд с дороги;20181216;21:35:00;Несоответствие скорости конкретным условиям движения;6;0;1;6;57.258611;55.464263
7;Ставропольский край;А-157;Минеральные Воды (аэропорт) - Кисловодск;Федеральная дорога общего пользования;7648000;СКФО, Ставропольский край, Предгорный район;Столкновение;20181216;21:30:00;Выезд на полосу встречного движения в местах, где это запрещено;1;0;3;3;43.963708;42.77396
45;Москва;;Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона;Региональная или межмуниципальная дорога общего пользования;45321000;ЦФО, Москва, Западный АО, Можайский;Наезд на стоящее ТС;20181216;21:03:00;Нарушение правил перестроения;1;0;2;2;55.708134;37.390831
11;Архангельская область;11Р-001;Архангельск (от пос. Брин-Наволок) Каргополь Вытегра (до с. Прокшино);Региональная или межмуниципальная дорога общего пользования;11650000;СЗФО, Архангельская область, Плесецкий район;Опрокидывание;20181216;21:00:00;Несоответствие скорости конкретным условиям движения;3;0;1;4;61.959394;39.216986
5;Приморский край;А-370;"""Уссури"" Хабаровск - Владивосток";Федеральная дорога общего пользования;5723000;ДФО, Приморский край, Уссурийск (городской округ);Наезд на пешехода;20181216;20:50:00;Нарушение правил проезда пешеходного перехода;0;1;1;2;43.740259;132.004884
87;Республика Коми;Р-176;"""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление)";Федеральная дорога общего пользования;87628000;СЗФО, Республика Коми, Сыктывдинский район;Столкновение;20181216;20:40:00;Выезд на полосу встречного движения в местах, где это запрещено, Выезд на полосу встречного движения;1;0;2;2;61.539347;50.599294
4;Красноярский край;;Березовка-Маганск;Региональная или межмуниципальная дорога общего пользования;4605000;СФО, Красноярский край, Березовский район;Наезд на препятствие;20181216;20:30:00;Другие нарушения ПДД водителями;1;0;1;2;55.88083;93.214509
40;Санкт-Петербург;А-118;Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга;Федеральная дорога общего пользования;;СЗФО, Санкт-Петербург, Пушкинский;Столкновение;20181216;20:30:00;Нарушение правил перестроения;2;0;2;5;59.825169;30.43288
718;Ханты-Мансийский автономный округ — Югра;;а/д г.Нефтеюганск - г.Сургут (км 9551 - км 22855 и км 38295 - км 59585);Региональная или межмуниципальная дорога общего пользования;71826000;УФО, Ханты-Мансийский автономный округ, Сургутский район;Столкновение;20181216;20:10:00;Другие нарушения ПДД водителями;3;0;3;4;61.239729;73.157659
87;Республика Коми;Р-176;"""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление)";Федеральная дорога общего пользования;87632000;СЗФО, Республика Коми, Сысольский район;Наезд на пешехода;20181216;20:05:00;Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины, Другие нарушения ПДД водителями;1;0;1;2;61.0719;50.115
71;Тюменская область;71А-2204;Ялуторовск - Ярково;Региональная или межмуниципальная дорога общего пользования;71658000;УФО, Тюменская область, Ярковский район;Столкновение;20181216;20:05:00;Выезд на полосу встречного движения;4;0;2;4;57.311349;67.134415
3;Краснодарский край;;ПОДЪЕЗД К Г.АНАПА;Региональная или межмуниципальная дорога общего пользования;3703000;ЮФО, Краснодарский край, Анапский район, Анапа;Столкновение;20181216;20:00:00;Несоблюдение очередности проезда;2;2;4;5;44.8995;37.369115
718;Ханты-Мансийский автономный округ — Югра;;а/д г.Нефтеюганск - г.Сургут (км 9551 - км 22855 и км 38295 - км 59585);Региональная или межмуниципальная дорога общего пользования;71826000;УФО, Ханты-Мансийский автономный округ, Сургутский район;Наезд на стоящее ТС;20181216;19:30:00;Другие нарушения ПДД водителями;1;0;2;2;61.239739;73.15768
7;Ставропольский край;Р-217;"""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)";Федеральная дорога общего пользования;7632000;СКФО, Ставропольский край, Андроповский район;Столкновение;20181216;19:30:00;Неправильный выбор дистанции;1;1;3;3;44.476543;42.535629
